Strategy,Params,Hold,Trades,PnL,WinRate%,ProfitFactor,AvgRet%,MaxDD%,Sharpe,CAGR%
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",5,35,-164818.12,31.4,0.47,-18.93,-203.21,-5.17,0.0
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",7,29,-4527.29,37.9,0.98,-0.74,-93.96,-0.11,-3.24
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 0, 'use_adx': False}",10,22,5572.34,27.3,1.02,0.95,-85.48,0.12,3.93
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",1,36,58623.68,47.2,1.37,6.53,-67.21,1.77,44.67
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",2,29,13016.68,34.5,1.07,1.79,-100.88,0.38,10.2
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",3,26,-91688.61,38.5,0.5,-14.21,-139.16,-4.49,-85.99
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",5,20,-70689.57,30.0,0.62,-14.25,-168.83,-2.76,-62.48
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",7,17,-7042.89,23.5,0.97,-1.68,-151.93,-0.21,-5.62
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 20, 'use_adx': True}",10,13,-32218.63,23.1,0.83,-9.98,-167.31,-0.92,-26.35
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",1,15,78460.3,60.0,2.99,20.95,-14.54,6.35,71.25
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",2,10,46365.59,60.0,2.0,18.58,-13.84,4.21,42.58
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",3,9,70485.59,44.4,2.22,31.46,-30.34,4.57,64.33
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",5,7,-4136.63,42.9,0.94,-2.37,-37.74,-0.47,-3.85
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",7,7,14459.28,28.6,1.17,8.23,-55.18,0.87,12.98
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 25, 'use_adx': True}",10,6,34492.14,33.3,1.45,22.96,-42.98,2.08,31.14
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",1,7,49112.29,71.4,5.23,28.18,-6.63,8.07,86.99
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",2,5,33426.34,60.0,2.91,27.07,-9.22,6.82,57.72
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",3,5,-26971.41,0.0,0.0,-21.61,-23.52,-25.75,-38.37
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",5,4,-11222.57,50.0,0.65,-11.28,-17.52,-2.8,-16.62
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",7,3,-5244.91,33.3,0.84,-7.14,-10.83,-1.09,-8.09
trend_sma,"{'fast': 20, 'slow': 100, 'adx_thresh': 30, 'use_adx': True}",10,3,19001.67,33.3,1.45,25.33,-16.91,2.1,29.72
